timestamp,open,high,low,close,volume
2025-08-29 08:00:00+00:00,647.89,648.48,647.79,647.84,3341.0
2025-08-29 08:01:00+00:00,647.98,648.01,647.98,648.01,651.0
2025-08-29 08:02:00+00:00,648.0,648.02,647.99,648.02,1389.0
2025-08-29 08:03:00+00:00,647.93,647.93,647.93,647.93,323.0
2025-08-29 08:04:00+00:00,647.86,647.87,647.72,647.72,2481.0
2025-08-29 08:05:00+00:00,647.7,647.7,647.67,647.67,927.0
2025-08-29 08:06:00+00:00,647.64,647.65,647.64,647.65,452.0
2025-08-29 08:07:00+00:00,647.7,647.7,647.7,647.7,662.0
2025-08-29 08:08:00+00:00,647.7,647.7,647.62,647.62,650.0
2025-08-29 08:09:00+00:00,647.6,647.6,647.6,647.6,1307.0
2025-08-29 08:10:00+00:00,647.61,647.61,647.58,647.58,743.0
2025-08-29 08:11:00+00:00,647.52,647.52,647.5,647.5,1419.0
2025-08-29 08:12:00+00:00,647.5,647.5,647.5,647.5,2332.0
2025-08-29 08:13:00+00:00,647.48,647.48,647.43,647.43,1185.0
2025-08-29 08:14:00+00:00,647.37,647.37,647.37,647.37,388.0
2025-08-29 08:15:00+00:00,647.33,647.33,647.33,647.33,574.0
2025-08-29 08:16:00+00:00,647.31,647.31,647.31,647.31,502.0
2025-08-29 08:17:00+00:00,647.44,647.48,647.44,647.47,2355.0
2025-08-29 08:18:00+00:00,647.53,647.53,647.5,647.5,445.0
2025-08-29 08:19:00+00:00,647.45,647.45,647.45,647.45,312.0
2025-08-29 08:20:00+00:00,647.34,647.44,647.34,647.44,726.0
2025-08-29 08:21:00+00:00,647.48,647.5,647.48,647.5,761.0
2025-08-29 08:23:00+00:00,647.52,647.52,647.52,647.52,283.0
2025-08-29 08:26:00+00:00,647.51,647.51,647.51,647.51,269.0
2025-08-29 08:27:00+00:00,647.5,647.5,647.46,647.46,465.0
2025-08-29 08:28:00+00:00,647.53,647.53,647.53,647.53,500.0
2025-08-29 08:29:00+00:00,647.55,647.55,647.55,647.55,255.0
2025-08-29 08:31:00+00:00,647.52,647.52,647.51,647.51,237.0
2025-08-29 08:33:00+00:00,647.64,647.64,647.64,647.64,143.0
2025-08-29 08:35:00+00:00,647.6,647.6,647.6,647.6,305.0
2025-08-29 08:37:00+00:00,647.6,647.6,647.52,647.57,1146.0
2025-08-29 08:39:00+00:00,647.54,647.54,647.54,647.54,598.0
2025-08-29 08:40:00+00:00,647.44,647.44,647.44,647.44,232.0
2025-08-29 08:43:00+00:00,647.5,647.52,647.5,647.52,407.0
2025-08-29 08:47:00+00:00,647.35,647.35,647.35,647.35,106.0
2025-08-29 08:50:00+00:00,647.39,647.39,647.39,647.39,553.0
2025-08-29 08:51:00+00:00,647.38,647.38,647.15,647.15,6477.0
2025-08-29 08:52:00+00:00,647.13,647.16,647.08,647.08,2247.0
