timestamp,open,high,low,close,volume,vwap,transactions
2025-08-29 09:33:00,14.65,14.65,14.65,14.65,1,14.65,1
2025-08-29 09:44:00,14.15,14.15,14.15,14.15,1,14.15,1
2025-08-29 10:05:00,11.93,11.93,11.93,11.93,1,11.93,1
2025-08-29 10:06:00,11.73,11.79,11.73,11.79,17,11.7335,2
2025-08-29 10:22:00,11.8,11.8,11.8,11.8,1,11.8,1
2025-08-29 10:26:00,11.5,11.5,11.5,11.5,1,11.5,1
2025-08-29 10:46:00,11.55,11.55,11.55,11.55,1,11.55,1
2025-08-29 10:49:00,11.15,11.15,11.0,11.0,2,11.075,2
2025-08-29 10:52:00,10.75,10.75,10.75,10.75,1,10.75,1
2025-08-29 11:26:00,12.0,12.0,12.0,12.0,1,12.0,1
2025-08-29 12:39:00,12.2,12.2,12.2,12.2,1,12.2,1
2025-08-29 14:30:00,11.65,11.65,11.65,11.65,2,11.65,1
2025-08-29 15:16:00,12.0,12.0,12.0,12.0,1,12.0,1
2025-08-29 15:19:00,12.1,12.1,12.1,12.1,1,12.1,1
2025-08-29 15:20:00,12.15,12.15,12.15,12.15,1,12.15,1
2025-08-29 15:21:00,12.22,12.22,12.22,12.22,1,12.22,1
2025-08-29 15:28:00,11.75,11.75,11.75,11.75,1,11.75,1
2025-08-29 15:55:00,11.17,11.17,11.17,11.17,3,11.17,3
