timestamp,open,high,low,close,volume,vwap,transactions
2025-08-29 09:30:00,0.07,0.09,0.04,0.05,186,0.0516,17
2025-08-29 09:31:00,0.06,0.07,0.06,0.07,7,0.0629,2
2025-08-29 09:32:00,0.05,0.07,0.05,0.06,129,0.0519,22
2025-08-29 09:33:00,0.06,0.06,0.05,0.05,10,0.056,6
2025-08-29 09:34:00,0.05,0.06,0.05,0.05,103,0.0502,9
2025-08-29 09:35:00,0.06,0.06,0.05,0.06,63,0.0597,6
2025-08-29 09:36:00,0.05,0.05,0.05,0.05,2,0.05,1
2025-08-29 09:37:00,0.04,0.05,0.04,0.05,6,0.045,6
2025-08-29 09:38:00,0.05,0.05,0.04,0.04,7,0.0471,3
2025-08-29 09:39:00,0.06,0.06,0.06,0.06,1,0.06,1
2025-08-29 09:40:00,0.04,0.04,0.04,0.04,20,0.04,5
2025-08-29 09:41:00,0.05,0.05,0.04,0.04,14,0.0429,5
2025-08-29 09:42:00,0.05,0.05,0.04,0.04,49,0.0457,15
2025-08-29 09:43:00,0.04,0.05,0.04,0.04,54,0.0474,9
2025-08-29 09:44:00,0.05,0.05,0.04,0.04,19,0.0495,6
2025-08-29 09:45:00,0.05,0.05,0.05,0.05,5,0.05,1
2025-08-29 09:46:00,0.04,0.05,0.04,0.04,59,0.0407,16
2025-08-29 09:47:00,0.04,0.04,0.04,0.04,7,0.04,4
2025-08-29 09:48:00,0.04,0.04,0.04,0.04,9,0.04,1
2025-08-29 09:49:00,0.04,0.04,0.04,0.04,100,0.04,1
2025-08-29 09:50:00,0.04,0.04,0.03,0.04,25,0.0392,8
2025-08-29 09:51:00,0.04,0.04,0.04,0.04,3,0.04,2
2025-08-29 09:52:00,0.04,0.04,0.04,0.04,4,0.04,3
2025-08-29 09:53:00,0.04,0.04,0.04,0.04,20,0.04,1
2025-08-29 09:54:00,0.03,0.04,0.03,0.04,7,0.0314,3
2025-08-29 09:55:00,0.03,0.03,0.03,0.03,5,0.03,2
2025-08-29 09:56:00,0.03,0.04,0.03,0.04,10,0.034,6
2025-08-29 09:57:00,0.03,0.03,0.03,0.03,3,0.03,2
2025-08-29 09:58:00,0.03,0.04,0.03,0.04,19,0.039,5
2025-08-29 09:59:00,0.04,0.04,0.04,0.04,3,0.04,2
2025-08-29 10:00:00,0.03,0.04,0.03,0.04,20,0.0355,6
2025-08-29 10:01:00,0.03,0.04,0.03,0.04,20,0.035,3
2025-08-29 10:02:00,0.04,0.04,0.04,0.04,1,0.04,1
2025-08-29 10:04:00,0.03,0.03,0.03,0.03,1,0.03,1
2025-08-29 10:05:00,0.03,0.03,0.03,0.03,10,0.03,5
2025-08-29 10:06:00,0.03,0.03,0.03,0.03,2,0.03,1
2025-08-29 10:07:00,0.03,0.03,0.03,0.03,1,0.03,1
2025-08-29 10:08:00,0.03,0.03,0.03,0.03,3,0.03,1
2025-08-29 10:09:00,0.03,0.05,0.03,0.05,49,0.0382,3
2025-08-29 10:10:00,0.03,0.03,0.03,0.03,6,0.03,3
2025-08-29 10:11:00,0.03,0.03,0.03,0.03,10,0.03,1
2025-08-29 10:12:00,0.03,0.03,0.03,0.03,54,0.03,5
2025-08-29 10:13:00,0.03,0.03,0.02,0.02,10,0.025,4
2025-08-29 10:14:00,0.03,0.03,0.02,0.02,8,0.0275,4
2025-08-29 10:15:00,0.02,0.02,0.02,0.02,1,0.02,1
2025-08-29 10:16:00,0.03,0.03,0.02,0.02,12,0.0283,5
2025-08-29 10:17:00,0.03,0.03,0.03,0.03,9,0.03,3
2025-08-29 10:18:00,0.02,0.02,0.02,0.02,1,0.02,1
2025-08-29 10:20:00,0.02,0.03,0.02,0.02,4,0.0225,3
2025-08-29 10:21:00,0.03,0.03,0.03,0.03,5,0.03,1
2025-08-29 10:22:00,0.03,0.03,0.03,0.03,3,0.03,2
2025-08-29 10:23:00,0.03,0.03,0.03,0.03,18,0.03,3
2025-08-29 10:24:00,0.03,0.03,0.03,0.03,5,0.03,1
2025-08-29 10:26:00,0.01,0.03,0.01,0.03,30,0.0167,3
2025-08-29 10:27:00,0.03,0.03,0.03,0.03,6,0.03,2
2025-08-29 10:28:00,0.02,0.02,0.02,0.02,2,0.02,1
2025-08-29 10:34:00,0.03,0.03,0.03,0.03,3,0.03,3
2025-08-29 10:35:00,0.03,0.03,0.03,0.03,1,0.03,1
2025-08-29 10:38:00,0.03,0.03,0.03,0.03,2,0.03,1
2025-08-29 10:41:00,0.02,0.02,0.02,0.02,10,0.02,1
2025-08-29 10:42:00,0.03,0.03,0.03,0.03,2,0.03,1
2025-08-29 10:44:00,0.02,0.02,0.02,0.02,1,0.02,1
2025-08-29 10:45:00,0.03,0.03,0.02,0.02,11,0.0291,2
2025-08-29 10:47:00,0.02,0.02,0.02,0.02,6,0.02,2
2025-08-29 10:48:00,0.02,0.02,0.02,0.02,9,0.02,2
2025-08-29 10:49:00,0.02,0.02,0.02,0.02,2,0.02,1
2025-08-29 10:51:00,0.02,0.02,0.02,0.02,40,0.02,1
2025-08-29 10:53:00,0.02,0.03,0.02,0.02,8,0.0213,3
2025-08-29 10:54:00,0.02,0.02,0.02,0.02,5,0.02,1
2025-08-29 10:55:00,0.02,0.02,0.02,0.02,13,0.02,2
2025-08-29 10:56:00,0.03,0.03,0.03,0.03,1,0.03,1
2025-08-29 10:57:00,0.03,0.03,0.02,0.02,2,0.025,2
2025-08-29 10:58:00,0.03,0.03,0.02,0.02,3,0.0233,3
2025-08-29 10:59:00,0.03,0.03,0.03,0.03,5,0.03,4
2025-08-29 11:01:00,0.03,0.03,0.03,0.03,4,0.03,1
2025-08-29 11:08:00,0.02,0.02,0.02,0.02,11,0.02,11
2025-08-29 11:09:00,0.02,0.02,0.02,0.02,36,0.02,36
2025-08-29 11:11:00,0.02,0.02,0.02,0.02,6,0.02,2
2025-08-29 11:13:00,0.03,0.03,0.02,0.02,57,0.0202,2
2025-08-29 11:14:00,0.02,0.02,0.02,0.02,1,0.02,1
2025-08-29 11:16:00,0.03,0.03,0.03,0.03,5,0.03,4
2025-08-29 11:17:00,0.02,0.02,0.02,0.02,1,0.02,1
2025-08-29 11:18:00,0.03,0.03,0.02,0.02,3,0.0233,3
2025-08-29 11:19:00,0.02,0.02,0.02,0.02,5,0.02,2
2025-08-29 11:21:00,0.03,0.03,0.03,0.03,4,0.03,1
2025-08-29 11:22:00,0.02,0.02,0.02,0.02,60,0.02,3
2025-08-29 11:24:00,0.03,0.03,0.03,0.03,6,0.03,2
2025-08-29 11:26:00,0.02,0.03,0.02,0.02,11,0.0209,6
2025-08-29 11:27:00,0.03,0.03,0.02,0.02,5,0.028,3
2025-08-29 11:28:00,0.03,0.03,0.03,0.03,16,0.03,8
2025-08-29 11:29:00,0.02,0.03,0.02,0.03,51,0.0298,8
2025-08-29 11:36:00,0.02,0.02,0.02,0.02,1,0.02,1
2025-08-29 11:38:00,0.03,0.03,0.03,0.03,5,0.03,1
2025-08-29 11:41:00,0.03,0.03,0.03,0.03,2,0.03,2
2025-08-29 11:44:00,0.03,0.03,0.03,0.03,9,0.03,3
2025-08-29 11:48:00,0.03,0.03,0.03,0.03,1,0.03,1
2025-08-29 11:49:00,0.03,0.03,0.03,0.03,20,0.03,6
2025-08-29 11:54:00,0.02,0.02,0.02,0.02,20,0.02,2
2025-08-29 11:56:00,0.03,0.03,0.03,0.03,1,0.03,1
2025-08-29 11:57:00,0.02,0.02,0.02,0.02,10,0.02,1
2025-08-29 11:58:00,0.03,0.03,0.03,0.03,1,0.03,1
2025-08-29 12:01:00,0.02,0.02,0.02,0.02,1,0.02,1
2025-08-29 12:02:00,0.03,0.03,0.03,0.03,2,0.03,2
2025-08-29 12:04:00,0.03,0.03,0.03,0.03,2,0.03,2
2025-08-29 12:07:00,0.03,0.03,0.03,0.03,1,0.03,1
2025-08-29 12:12:00,0.03,0.03,0.03,0.03,3,0.03,1
2025-08-29 12:16:00,0.02,0.03,0.02,0.03,2,0.025,2
2025-08-29 12:19:00,0.03,0.03,0.03,0.03,2,0.03,1
2025-08-29 12:24:00,0.02,0.03,0.02,0.03,16,0.0294,5
2025-08-29 12:25:00,0.02,0.03,0.02,0.03,6,0.0217,2
2025-08-29 12:33:00,0.03,0.03,0.03,0.03,1,0.03,1
2025-08-29 12:35:00,0.02,0.02,0.02,0.02,6,0.02,3
2025-08-29 12:36:00,0.02,0.02,0.02,0.02,1,0.02,1
2025-08-29 12:45:00,0.03,0.03,0.03,0.03,5,0.03,1
2025-08-29 12:46:00,0.03,0.03,0.03,0.03,1,0.03,1
